Date,Close,High,Low,Open,Volume
2020-01-02,208.58023071289062,208.58023071289062,206.4766659911793,206.8819366864673,30969400
2020-01-03,206.66961669921875,207.9143901637566,205.8011817380708,205.82048454628458,27518900
2020-01-06,208.00125122070312,208.03019807401319,204.7976767566402,205.04855439323734,21655300
2020-01-07,207.97230529785156,208.56091585733947,207.31615698824805,208.0784486683733,22139300
2020-01-08,209.53549194335938,210.49078226740906,207.61528197586097,207.94335612700655,26397300
2020-01-09,211.3109893798828,211.71626006069636,210.07587452681383,211.26273971517705,23547000
2020-01-10,210.77059936523438,212.1601071610484,210.39427556417888,212.1408190754667,21898500
2020-01-13,213.20225524902344,213.2312021034663,211.3013332807121,211.63906621418633,22756900
2020-01-14,212.3627471923828,213.4531276870135,212.03467305684538,213.096091976007,24418100
2020-01-15,212.4496612548828,213.44354277177618,211.7549071252847,212.47860811663818,25742100
2020-01-16,214.48558044433594,214.52418605899953,213.05748190006906,213.5110021681349,18805000
2020-01-17,215.54705810546875,215.72073923581672,214.3312312981092,215.45055877278813,24325200
2020-01-21,215.4505615234375,215.99092245639343,214.85230687962647,214.94879148980795,21146300
2020-01-22,216.01988220214844,217.25499718652972,215.74970171954828,216.54095507840017,20736400
2020-01-23,216.71458435058594,216.8110836671597,214.8908591676784,215.89439905462294,26496100
2020-01-24,214.89083862304688,217.95933696724117,213.89695759701678,217.72774746384235,37436500
2020-01-27,210.45220947265625,211.59082505647174,209.56445682161177,210.03728000274077,42264400
2020-01-28,213.6847381591797,214.17686416833774,211.37854533544717,211.93820910202527,26731900
2020-01-29,214.0320587158203,215.11278033938007,213.08642729520554,214.87154678242635,28924500
2020-01-30,214.79440307617188,214.8908876818198,211.98644044178818,212.65224753279983,39568100
2020-01-31,211.3881378173828,215.72068286111428,210.63547561137676,215.69173601362104,52015800
2020-02-03,214.58212280273438,215.07423406045405,212.27593010884422,212.4206643835468,25408600
2020-02-04,219.49362182617188,219.8699456406729,216.77249984152587,217.51550342739253,30691200
2020-02-05,220.21728515625,222.1761004119512,218.89533000871415,222.13750952224154,38534800
2020-02-06,222.11825561523438,222.176149324408,219.985744077045,220.76733859835025,22467100
2020-02-07,221.1629180908203,222.35944181232256,220.52605797822747,221.12432720084237,25884900
2020-02-10,223.8358612060547,223.84550525068624,220.37174982186846,220.42964353712225,21478900
2020-02-11,223.87440490722656,225.8139323016973,223.28579438669365,225.07092875721793,30198000
2020-02-12,226.05517578125,226.16131914939604,224.63672109953913,225.19638479306101,24471300
2020-02-13,225.76568603515625,226.69201474530212,224.21214117719742,224.48232161130076,22773200
2020-02-14,226.4121856689453,226.62447239481813,225.36041080585753,226.12270243150698,23438500
2020-02-18,226.4990692138672,226.9236427461993,225.07097028816705,225.31220391119828,24394500
2020-02-19,228.67013549804688,229.14295862462606,227.5797697072824,227.84995014426204,22230500
2020-02-20,226.5472869873047,228.64119277356423,223.74898324361197,228.16838436217873,42604000
2020-02-21,222.19541931152344,225.80426407171498,221.2787346963202,225.4182962517542,66017200
2020-02-24,213.6268310546875,216.38654409000196,212.53645044645282,213.9066555585697,84522600
2020-02-25,207.81790161132812,216.13564553488902,207.210002996527,215.4215888312775,97743000
2020-02-26,208.88900756835938,212.555761457423,207.36440935624285,209.11095309502306,79537700
2020-02-27,198.4291229248047,208.83111528648146,198.29403268856464,203.5046729135161,121822600
2020-02-28,198.58349609375,199.905451467745,191.22104214636,191.6745624777085,148173700
2020-03-02,208.83106994628906,208.97581891894654,198.71856306461882,201.55547213345767,112933900
2020-03-03,202.13446044921875,211.90925094519767,200.33968181891154,209.49691486810363,131953500
2020-03-04,210.56797790527344,210.67412127416952,203.95817162817943,205.83980541531284,73086200
2020-03-05,204.17044067382812,208.77318130987015,202.73269802050228,205.23187427081177,78705500
2020-03-06,200.7256317138672,201.81599743088321,195.79481698689693,197.49309600786486,89828400
2020-03-09,186.78237915039062,194.10622850769025,185.3735682950245,186.69552385492742,116424000
2020-03-10,196.9527587890625,197.13609867882644,186.88848545231914,194.05795562116117,100599200
2020-03-11,188.3744659423828,193.71055118056694,185.9717743532249,192.35964911661964,89168800
2020-03-12,171.1021728515625,184.09018147664887,170.7354930723059,175.70489928403467,137820700
2020-03-13,185.59552001953125,187.66047950338998,171.8838074075311,180.51032520767626,134882000
2020-03-16,163.36337280273438,178.20405167669404,163.22828259558122,168.04329511918402,92054400
2020-03-17,175.75315856933594,177.92426106250682,163.82656828456805,169.3170476119838,121257100
2020-03-18,170.4073944091797,172.93551743213698,160.9510358161161,165.59236720199402,114156300
2020-03-19,171.43023681640625,177.0558057342062,165.61168397711026,169.52931500602483,120896500
2020-03-20,164.71426391601562,176.45751128622436,164.13531223404547,175.3671456595033,118983900
2020-03-23,164.8332061767578,168.45942053095774,159.48573516773533,165.27801354134812,124639800
2020-03-24,177.59750366210938,177.76189029953622,172.07598064100364,173.9712887788832,94881800
2020-03-25,176.28240966796875,183.25440443543883,174.03898413470367,178.3324252548365,88754900
2020-03-26,185.5655059814453,186.35844542316946,177.5491597195802,177.80057198507214,79887600
2020-03-27,179.18336486816406,184.2213777363804,178.56449146146073,180.759549545566,58845000
2020-03-30,185.70091247558594,186.13607015311376,180.18906769636067,180.88530227427427,49356900
2020-03-31,184.1150360107422,188.80494712957645,182.9546500421454,185.3914709047743,62659300
2020-04-01,176.29209899902344,181.465505933787,174.88996522155114,178.67090297547543,53715400
